tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp
416667,100324,2015-11-02,2,0,OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,57 GOLD STREET,10038,New York,101,1,Manhattan,1,65,26,MN25,Battery Park City-Lower Manhattan,1001501,New York,40.70921389,-74.00521259,982804.8474,197662.2763
345158,302180,2015-10-18,10,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,None,Damage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,35-001 21 AVENUE,11105,Astoria,401,4,Queens,22,36,13,QN72,Steinway,4011100,New York,40.77682853,-73.90643125,1010164.915,222310.2431
237941,223811,2015-09-19,22,0,OffsetFromCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,Damage,Volunteer,RootOther,No,No,Yes,No,No,No,No,No,No,106 FERRIS STREET,11231,Brooklyn,306,3,Brooklyn,38,51,25,BK33,Carroll Gardens-Columbia Street-Red Hook,3005300,New York,40.67796544,-74.01720666,979477.3448,186277.9726
103244,103112,2015-07-29,20,0,OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,Damage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,121 AVENUE A,10009,New York,103,1,Manhattan,2,74,27,MN22,East Village,1003200,New York,40.72647379,-73.9833363,988868.6899,203950.9829
116260,345301,2015-08-04,8,0,OnCurb,Alive,Good,Tilia americana,American linden,1or2,Unsure,Damage,Volunteer,StonesBranchLights,Yes,No,No,No,No,No,Yes,No,No,60-066 PUTNAM AVENUE,11385,Ridgewood,405,4,Queens,30,37,15,QN20,Ridgewood,4058500,New York,40.70612795,-73.89823405,1012465.148,196554.3245
345499,221214,2015-10-19,4,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,None,NoDamage,Volunteer,StonesBranchLights,Yes,No,No,No,No,No,Yes,No,No,239 TOMPKINS AVENUE,11221,Brooklyn,303,3,Brooklyn,36,56,25,BK75,Bedford,3026100,New York,40.69088598,-73.94534544,999406.7321,190989.562
710279,211703,2016-09-12,8,0,OnCurb,Alive,Good,Liquidambar styraciflua,sweetgum,None,Helpful,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,27 MONACO PLACE,11233,Brooklyn,316,3,Brooklyn,37,55,25,BK79,Ocean Hill,3036900,New York,40.67657888,-73.90899658,1009492.363,185785.4516
422872,202746,2015-11-03,11,0,OnCurb,Alive,Good,Prunus,cherry,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,103 LINWOOD STREET,11208,Brooklyn,305,3,Brooklyn,37,54,18,BK83,Cypress Hills-City Line,3117202,New York,40.68341716,-73.88454053,1016272.653,188284.8285
211746,110766,2015-09-09,2,0,OnCurb,Alive,Fair,Quercus palustris,pin oak,3or4,Harmful,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,602 WEST 165 STREET,10032,New York,112,1,Manhattan,7,71,31,MN36,Washington Heights South,1024500,New York,40.83939878,-73.94173134,1000372.998,245098.3251
503957,413136,2015-12-08,32,0,OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,470 GENESEE AVENUE,10312,Staten Island,503,5,Staten Island,51,62,24,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,5017012,New York,40.55182835,-74.17260081,936284.7685,140369.7082
269505,341973,2015-09-29,8,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,None,None,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,25-060 90 STREET,11369,East Elmhurst,403,4,Queens,22,34,13,QN28,Jackson Heights,4032900,New York,40.76204969,-73.87912938,1017733.903,216935.0832
237867,331152,2015-09-19,7,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,227-019 145 AVENUE,11413,Springfield Gardens,413,4,Queens,31,31,10,QN03,Springfield Gardens South-Brookville,4068000,New York,40.66208775,-73.751708,1053135.669,180590.4378
423251,311675,2015-11-03,10,0,OnCurb,Alive,Fair,Acer pseudoplatanus,sycamore maple,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,45-028 160 STREET,11358,Flushing,407,4,Queens,20,40,16,QN52,East Flushing,4119100,New York,40.75577515,-73.80655899,1037842.567,214685.135
472672,504249,2015-11-19,5,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,2062 MORRIS AVENUE,10453,Bronx,205,2,Bronx,14,86,33,BX41,Mount Hope,2024100,New York,40.85358851,-73.90511161,1010500.112,250277.0372
310380,229807,2015-10-11,7,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,2411 AVENUE M,11210,Brooklyn,314,3,Brooklyn,48,42,17,BK43,Midwood,3075400,New York,40.61907038,-73.95080936,997906.1774,164824.2488
561913,315843,2016-05-19,17,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,151-002 11 AVENUE,11357,Whitestone,407,4,Queens,19,26,11,QN49,Whitestone,4098700,New York,40.79198907,-73.81233252,1036214.753,227875.5702
558208,325041,2016-05-12,6,0,OnCurb,Alive,Good,Chamaecyparis pisifera,false cypress,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,120-026 144 STREET,11436,Jamaica,412,4,Queens,28,32,10,QN76,Baisley Park,4018200,New York,40.67574595,-73.79560616,1040945.059,185535.0237
349623,223809,2015-10-19,6,0,OnCurb,Alive,Good,Prunus cerasifera,purple-leaf plum,1or2,Unsure,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,115 PARK PLACE,11217,Brooklyn,306,3,Brooklyn,39,52,20,BK64,Prospect Heights,3016100,New York,40.67833388,-73.97470326,991266.5801,186412.7496
385997,410245,2015-10-27,2,0,OffsetFromCurb,Alive,Good,Acer saccharum,sugar maple,1or2,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,233 RICHMOND VALLEY ROAD,10307,Staten Island,503,5,Staten Island,51,62,24,SI11,Charleston-Richmond Valley-Tottenville,5024800,New York,40.52093287,-74.23593,918655.5022,129154.8359
170948,348733,2015-08-24,30,0,OffsetFromCurb,Alive,Good,Quercus velutina,black oak,None,Unsure,Damage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,71-025 113 STREET,11375,Forest Hills,406,4,Queens,29,27,15,QN17,Forest Hills,4075702,New York,40.72329749,-73.83726333,1029357.963,202835.2223
475015,505942,2015-11-20,3,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,2704 DECATUR AVENUE,10458,Bronx,207,2,Bronx,15,78,33,BX05,Bedford Park-Fordham North,2040502,New York,40.8649691,-73.88857573,1015069.353,254428.8065
6940,225575,2015-05-31,6,0,OnCurb,Alive,Good,Quercus rubra,northern red oak,1or2,None,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,406 16 STREET,11215,Brooklyn,307,3,Brooklyn,39,44,21,BK40,Windsor Terrace,3016900,New York,40.66083134,-73.98140004,989410.4418,180035.6154
516758,511118,2015-12-14,4,0,OnCurb,Alive,Good,Celtis occidentalis,common hackberry,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,2049 BARTOW AVENUE,10475,Bronx,210,2,Bronx,12,82,36,BX13,Co-op City,2046201,New York,40.87121503,-73.82949042,1031407.584,256730.7409
566705,332708,2016-05-26,4,0,OnCurb,Alive,Good,Carpinus betulus,European hornbeam,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,235-009 120 AVENUE,11411,Cambria Heights,413,4,Queens,27,33,14,QN33,Cambria Heights,4061400,New York,40.68619527,-73.72918057,1059358.466,189391.973
721305,325963,2016-09-23,3,0,OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,116-011 157 STREET,11434,Jamaica,412,4,Queens,28,32,10,QN76,Baisley Park,4027800,New York,40.68530409,-73.78600245,1043600.44,189023.683
25085,209880,2015-06-17,3,0,OnCurb,Alive,Good,Quercus bicolor,swamp white oak,1or2,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,1600 AVENUE T,11229,Brooklyn,315,3,Brooklyn,48,45,19,BK44,Madison,3058000,New York,40.60103327,-73.95581118,996520.9006,158252.1225
98801,501449,2015-07-28,18,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,Damage,Volunteer,StonesRootOther,Yes,No,Yes,No,No,No,No,No,No,754 TIFFANY STREET,10474,Bronx,202,2,Bronx,17,84,32,BX27,Hunts Point,2009300,New York,40.81539711,-73.89142357,1014304.044,236366.9026
